City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,laguna,38.421,-121.4238,27.88,53,0,3.09,US,1689601393
113,holualoa,19.6228,-155.9522,23.91,86,100,2.06,US,1689601393
114,chernyshevskiy,63.0128,112.4714,11.76,97,34,0.75,RU,1689601393
115,bethel,41.3712,-73.414,27.72,82,0,1.34,US,1689601132
116,bredasdorp,-34.5322,20.0403,19.82,67,83,2.46,ZA,1689601394
117,jamestown,42.097,-79.2353,23.34,76,20,2.68,US,1689601245
118,vila velha,-20.3297,-40.2925,26.97,69,0,3.09,BR,1689601119
119,kudat,6.8837,116.8477,25.96,89,20,0.51,MY,1689601394
120,nadym,65.5333,72.5167,21.4,59,100,10.8,RU,1689601395
121,wailua homesteads,22.0669,-159.378,26.44,83,100,8.23,US,1689601395
122,gadzhiyevo,69.2551,33.3362,21.55,49,99,5.68,RU,1689601395
123,bereeda,11.8704,51.0579,31.03,53,35,1.41,SO,1689601395
124,villa gesell,-37.2639,-56.973,5.59,64,14,8.1,AR,1689601395
125,kingston,17.997,-76.7936,30.69,70,20,4.12,JM,1689601263
126,antofagasta,-23.65,-70.4,16.6,56,65,1.75,CL,1689601396
127,papatowai,-46.5619,169.4708,10.48,87,100,10.3,NZ,1689601396
128,tolanaro,-25.0319,46.9987,24.04,64,20,3.09,MG,1689601396
129,siwa oasis,29.2041,25.5195,40.43,15,0,4.4,EG,1689601396
130,karanpur,29.8419,73.4542,39.51,33,1,3.63,IN,1689601396
131,bin yauri,10.7823,4.8114,34.83,45,96,2.74,NG,1689601396
132,kilindoni,-7.9139,39.6668,25.22,78,0,8.41,TZ,1689601397
133,weno,7.4515,151.8468,26.97,83,100,1.54,FM,1689601397
134,oyem,1.5995,11.5793,27.08,71,26,0.26,GA,1689601397
135,yazman,29.1212,71.7446,41.0,29,28,3.29,PK,1689601397
136,fraserburgh,57.6874,-2.0184,18.57,75,97,5.5,GB,1689601397
137,rio grande,-32.035,-52.0986,9.06,67,3,5.79,BR,1689601397
138,vila franca do campo,37.7167,-25.4333,21.23,73,82,1.58,PT,1689601397
139,la passe,45.5549,-0.8967,25.57,48,2,4.71,FR,1689601398
140,tazovsky,67.4667,78.7,18.32,61,85,5.43,RU,1689601398
141,kundiawa,-6.0167,144.9667,15.86,95,47,0.05,PG,1689601398
142,midvagur,62.0511,-7.1939,9.46,87,100,10.8,FO,1689601398
143,nkove,-7.95,30.85,26.61,38,3,1.4,TZ,1689601398
144,shyroke,47.6917,33.2571,32.29,28,43,5.47,UA,1689601398
145,beau vallon,-20.4189,57.6953,23.45,78,75,3.09,MU,1689601274
146,rancho palos verdes,33.7445,-118.387,23.07,94,97,1.34,US,1689601399
147,tahe,52.3333,124.7333,19.38,58,88,1.57,CN,1689601399
148,ust-nera,64.5667,143.2,10.23,59,7,2.51,RU,1689601399
149,fortuna,40.5982,-124.1573,14.19,94,100,1.54,US,1689601399
150,tura,25.5198,90.2201,24.02,97,23,1.22,IN,1689601399
151,le vauclin,14.5452,-60.8388,31.03,70,20,7.72,MQ,1689601399
152,ain leuh,33.2921,-5.3384,35.76,5,0,4.62,MA,1689601400
153,qamdo,31.1667,97.2333,7.98,77,100,1.89,CN,1689601400
154,constantia,44.1833,28.65,30.39,52,0,6.18,RO,1689601366
155,mejit,10.2753,170.8646,28.03,77,100,4.68,MH,1689601400
156,katsuren-haebaru,26.3369,127.8719,29.01,88,100,8.75,JP,1689601400
157,kasempa,-13.4584,25.8338,25.84,21,0,3.08,ZM,1689601400
158,vilyuchinsk,52.9306,158.4028,14.15,93,97,0.86,RU,1689601169
159,hit,33.6416,42.8251,43.91,7,0,7.86,IQ,1689601401
160,sitka,57.0531,-135.33,12.94,88,100,2.06,US,1689601401
